V		ch1 				ch2 			ch5			ch6
1200	-8.30784  	-1.88563  	8.42742  	2.08471
1100	-8.46258  	-1.91553  	8.25875  	2.03428
1000	-9.50534  	-2.16618  	9.2148  		2.01439
900	-8.96772  	-2.03542  	9.16602  	1.87512
800	-8.60997  	-1.95532  	9.13003  	1.54696
700	-8.54644  	-1.94028  	9.06115  	1.38223
600 	-8.35222  	-1.89249  	9.28764  	1.18633
500 	-8.02468  	-1.83017  	8.96744  	0.966997
400	-8.18408  	-1.86138  	9.1096  		0.73435
300	-7.88045  	-1.7976  	8.98876  	0.59565
200	-8.12389  	-1.86444  	9.48967  	0.464526
100	-7.81372  	-1.8101  	9.38476  	0.253722
30		-8.10241  	-1.88936  	10.0279  	-0.097214
20		-8.05221  	-1.88727  	9.88782  	0.001359
10		-8.23558  	-1.90052  	10.0204  	0.0676815

