V	ch1 		ch2 		ch5		ch6
150	-0.0425841	-0.0248149	0.266249	0.0368583
160	-0.120058	-0.0291809	0.743899	0.128602
170	-0.33174	-0.0857572	0.380177	0.142726
180	-0.989434	-0.236737	1.4167		0.225339
190	-2.82717	-0.641983	2.75595		0.588174
200	-8.36048	-1.89738	7.54875		1.54621
205	-11.9342	-2.69959	12.0681		2.42968
210	-17.402		-3.91198	17.1154		3.48129
215	-25.3713	-5.62936	26.163		4.59363
