V		ch1 				ch2 			ch5			ch6
180	-0.128147	-0.0202744	0.153686	-0.0180242
190	-0.306103	-0.0468601	0.446273	0.110086
200	-0.307097	-0.048218	0.319469	0.102987	
205	-0.997039	-0.205431	1.30311	0.247402
210	-2.13996		-0.432366	2.12916	0.58417
215	-3.6189		-0.703567	3.35332	0.830131
220	-5.97803		-1.16364		5.30553	1.13244
225	-9.12646		-1.79173		8.96079	1.68
230	-13.1042		-2.56474		13.1605	2.34263
235	-20.3883		-3.95713		20.0749	3.34285


