v	CH1		Ch2		  Ch5		Ch6
140	-0.230599	-0.0427147	0.100331	0.165428
150	-0.560975	-0.0957789	0.399787	0.251839
160	-1.12731	-0.187188	0.778938	0.544516
170	-2.18315	-0.34898	1.8175		0.715553
180	-4.02958	-0.633266	3.4037		1.21158
185	-5.34613	-0.813541	4.61785		1.51411
190	-7.06024	-1.05225	6.41976		1.68804
195	-9.3764		-1.35668	8.77032		1.92051
